study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	experiment_alias
PRJNA227449	SRP032974	SAMN02402254	SRS502159	SRX377365	SRR1210953	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI262611
PRJNA227449	SRP032974	SAMN02402255	SRS502160	SRX377366	SRR1210965	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI222669
PRJNA227449	SRP032974	SAMN02402256	SRS502161	SRX377367	SRR1210976	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI278297
PRJNA227449	SRP032974	SAMN02402257	SRS502162	SRX377368	SRR1210980	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI210945
PRJNA227449	SRP032974	SAMN02402258	SRS502163	SRX377369	SRR1210993	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI192569
PRJNA227449	SRP032974	SAMN02402259	SRS502164	SRX377370	SRR1211005	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI192147
PRJNA227449	SRP032974	SAMN02402260	SRS502165	SRX377371	SRR1211010	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI8813
PRJNA227449	SRP032974	SAMN02402261	SRS502166	SRX377372	SRR1211011	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI565213
PRJNA227449	SRP032974	SAMN02402262	SRS502167	SRX377373	SRR1211023	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI82469
PRJNA227449	SRP032974	SAMN02402263	SRS502168	SRX377374	SRR1211024	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI185715
PRJNA227449	SRP032974	SAMN02402264	SRS502169	SRX377375	SRR1211025	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI245368
PRJNA227449	SRP032974	SAMN02402265	SRS502170	SRX377376	SRR1211026	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI166333
PRJNA227449	SRP032974	SAMN02402266	SRS502171	SRX377377	SRR1211027	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI166180
PRJNA227449	SRP032974	SAMN02402267	SRS502172	SRX377378	SRR1211028	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI177943
PRJNA227449	SRP032974	SAMN02402268	SRS502173	SRX377379	SRR1211029	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI192001
PRJNA227449	SRP032974	SAMN02402269	SRS502174	SRX377380	SRR1211030	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI153785
PRJNA227449	SRP032974	SAMN02402270	SRS502175	SRX377381	SRR1211031	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Marquis
PRJNA227449	SRP032974	SAMN02402271	SRS502176	SRX377382	SRR1211032	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Neepawa
PRJNA227449	SRP032974	SAMN02402272	SRS502177	SRX377383	SRR1211059	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar AC_Barrie
PRJNA227449	SRP032974	SAMN02402273	SRS502178	SRX377384	SRR1211060	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Chinese_Spring
PRJNA227449	SRP032974	SAMN02402273	SRS502178	SRX377384	SRR1211063	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Chinese_Spring
PRJNA227449	SRP032974	SAMN02402274	SRS502180	SRX377386	SRR1211082	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Rialto
PRJNA227449	SRP032974	SAMN02402274	SRS502180	SRX377386	SRR1211085	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Rialto
PRJNA227449	SRP032974	SAMN02402275	SRS502181	SRX377387	SRR1211088	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Truman
PRJNA227449	SRP032974	SAMN02402275	SRS502181	SRX377387	SRR1211089	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Truman
PRJNA227449	SRP032974	SAMN02402276	SRS502182	SRX377388	SRR1211099	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Utmost
PRJNA227449	SRP032974	SAMN02402276	SRS502182	SRX377388	SRR1211102	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Utmost
PRJNA227449	SRP032974	SAMN02700163	SRS583110	SRX502134	SRR1211111	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Avalon
PRJNA227449	SRP032974	SAMN02700164	SRS583111	SRX502135	SRR1548581	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar H1096
PRJNA227449	SRP032974	SAMN02700165	SRS583112	SRX502136	SRR1548582	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat accession 102
PRJNA227449	SRP032974	SAMN02700167	SRS583262	SRX502289	SRR1548583	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat accession Estacao
PRJNA227449	SRP032974	SAMN02700166	SRS583263	SRX502292	SRR1548584	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar 93
PRJNA227449	SRP032974	SAMN02700168	SRS583290	SRX502319	SRR1548585	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat accession Taxi
PRJNA227449	SRP032974	SAMN02700169	SRS583293	SRX502321	SRR1548586	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat accession PR267
PRJNA227449	SRP032974	SAMN02700170	SRS583479	SRX502508	SRR1548587	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat accession Alabasskaja
PRJNA227449	SRP032974	SAMN02700171	SRS583480	SRX502509	SRR1548588	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat accession Roemer_Winter
PRJNA227449	SRP032974	SAMN02700172	SRS583481	SRX502510	SRR1548589	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar 407_IV_60
PRJNA227449	SRP032974	SAMN02700173	SRS583482	SRX502511	SRR1548590	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar 403
